timestamp,label,status,confidence,severity,pps,unique_ports,syn,rst,icmp,top_port,top_ip
1781943171.227,Normal,Normal,100.0,—,1,0,0,0,0,0,—
1781943172.911,Normal,Normal,100.0,—,1,0,0,0,0,0,—
1781943174.049,Normal,Normal,98.0,—,3,0,0,0,0,0,—
1781943178.651,Normal,Normal,100.0,—,3,1,0,0,0,7151,192.168.0.1
1781943179.732,Normal,Normal,100.0,—,3,1,0,0,0,1900,192.168.0.4
1781943180.734,Normal,Normal,92.0,—,1,1,0,0,0,1900,192.168.0.4
1781943181.738,Normal,Normal,92.0,—,1,1,0,0,0,1900,192.168.0.4
1781943184.184,Normal,Normal,80.0,—,2,1,0,0,0,1900,192.168.0.4
1781943190.793,Normal,Normal,100.0,—,24,1,0,0,0,1900,192.168.0.1
1781943192.051,Normal,Normal,100.0,—,3,0,0,0,0,0,—
1781943197.707,Normal,Normal,100.0,—,1,0,0,0,0,0,—
1781943198.828,Normal,Normal,100.0,—,6,1,0,0,0,57621,192.168.0.4
1781943201.09,Normal,Normal,100.0,—,12,1,0,0,0,7151,192.168.0.1
1781943203.426,Normal,Normal,100.0,—,3,0,0,0,0,0,—
1781943205.697,Normal,Normal,100.0,—,2,0,0,0,0,0,—
1781943208.626,Normal,Normal,99.0,—,6,1,0,0,0,5353,192.168.0.2
1781943209.897,Normal,Normal,100.0,—,2,0,0,0,0,0,—
1781943211.101,Normal,Normal,98.0,—,3,1,0,0,0,1900,192.168.0.2
1781943215.326,Normal,Normal,100.0,—,1,0,0,0,0,0,—
1781943221.178,Normal,Normal,100.0,—,3,0,0,0,0,0,—
1781943223.974,Normal,Normal,71.0,—,3,1,0,0,0,443,192.168.0.5
1781943224.998,Normal,Normal,61.0,—,1,1,0,0,0,443,192.168.0.5
1781943226.026,Normal,Normal,61.0,—,1,1,0,0,0,443,192.168.0.5
1781943227.061,Normal,Normal,61.0,—,1,1,0,0,0,443,192.168.0.5
1781943228.068,Normal,Normal,75.0,—,2,1,0,1,0,443,192.168.0.1
1781943229.095,Normal,Normal,88.0,—,2,1,0,0,0,57621,192.168.0.4
1781943233.086,Normal,Normal,90.0,—,6,1,0,0,0,53,192.168.0.4
1781943234.257,Normal,Normal,100.0,—,40,6,6,0,0,443,192.168.0.5
1781943235.57,Normal,Normal,100.0,—,71,6,3,0,0,443,192.168.0.5
1781943238.102,Normal,Normal,88.0,—,5,0,0,0,0,0,192.168.0.4
1781943240.406,Normal,Normal,100.0,—,7,2,0,0,0,5353,192.168.0.4
1781943243.911,Normal,Normal,100.0,—,1,0,0,0,0,0,—
1781943248.421,Normal,Normal,100.0,—,3,0,0,0,0,0,—
