timestamp,prediction,confidence,pps,unique_ports,rst,top_port
1781591393.359,0,1.0000,2,0,0,0
1781591396.174,0,1.0000,2,1,0,5353
1781591399.083,0,1.0000,2,1,0,5353
1781591403.612,0,1.0000,3,1,0,57621
1781591405.429,0,1.0000,1,0,0,0
1781591408.09,0,1.0000,1,0,0,0
1781591409.847,0,1.0000,14,1,0,7151
1781591411.759,0,1.0000,2,0,0,0
1781591412.9,0,1.0000,1,1,0,1900
1781591414.333,0,0.9400,20,1,0,1900
1781591416.163,0,1.0000,4,1,0,5353
1781591419.458,0,1.0000,2,2,0,5353
1781591422.215,0,1.0000,1,0,0,0
1781591423.267,0,1.0000,3,0,0,0
1781591425.387,0,1.0000,1,0,0,0
1781591429.176,0,1.0000,3,0,0,0
1781591435.356,0,1.0000,3,0,0,0
1781591437.607,0,1.0000,5,2,0,5353
1781591443.742,0,1.0000,2,1,0,57621
1781591450.668,0,1.0000,5,1,0,7151
1781591451.675,0,1.0000,2,0,0,0
1781591455.784,0,1.0000,1,0,0,0
1781591456.825,0,1.0000,4,1,0,5353
1781591462.34,0,1.0000,3,1,0,57621
1781591463.362,0,1.0000,1,0,0,0
1781591467.453,0,1.0000,3,0,0,0
1781591468.478,0,1.0000,5,1,0,7151
1781591470.729,0,1.0000,10,1,0,7151
1781591471.77,0,1.0000,3,2,0,57621
1781591472.772,0,1.0000,2,1,0,1900
1781591474.609,0,1.0000,2,2,0,1900
1781591476.017,0,1.0000,2,2,0,1900
1781591483.082,0,1.0000,7,1,0,5353
1781591484.535,0,1.0000,4,1,0,5353
1781591490.689,0,1.0000,2,1,0,1900
1781591495.52,0,1.0000,3,1,0,57621
1781591498.158,0,1.0000,3,1,0,5353
1781591504.197,0,1.0000,3,1,0,7151
1781591505.528,0,1.0000,3,2,0,7151
1781591508.247,0,1.0000,3,0,0,0
1781591509.272,0,1.0000,1,0,0,0
1781591510.296,0,1.0000,1,0,0,0
1781591511.319,0,1.0000,4,0,0,0
1781591512.342,0,1.0000,1,0,0,0
1781591513.367,0,1.0000,2,0,0,0
1781591514.857,0,1.0000,5,0,0,0
1781591515.863,0,1.0000,2,0,0,0
1781591516.887,0,1.0000,3,1,0,5353
1781591517.917,0,1.0000,4,0,0,0
1781591518.994,0,1.0000,1,0,0,0
1781591520.105,0,1.0000,1,0,0,0
1781591522.025,0,1.0000,2,0,0,0
1781591524.025,0,1.0000,5,0,0,0
1781591525.046,0,1.0000,1,0,0,0
1781591526.074,0,1.0000,1,0,0,0
1781591527.094,0,1.0000,1,0,0,0
1781591528.123,0,1.0000,1,0,0,0
1781591529.142,0,1.0000,11,1,0,7151
1781591530.166,0,1.0000,1,0,0,0
1781591531.191,0,1.0000,3,0,0,0
