timestamp,prediction,label_name,confidence,pps,unique_ports,rst,icmp,top_port
1781788697.79,0,Normal,1.0000,1,0,0,0,0
1781788700.532,0,Normal,1.0000,1,0,0,0,0
1781788705.041,0,Normal,1.0000,5,1,0,0,7151
1781788708.832,0,Normal,0.9900,2,1,0,0,7151
1781788712.242,0,Normal,0.9300,5,0,0,0,0
1781788715.293,0,Normal,1.0000,1,0,0,0,0
1781788716.298,0,Normal,1.0000,29,4,0,0,443
1781788717.304,0,Normal,1.0000,89,15,2,0,443
1781788718.345,0,Normal,1.0000,114,14,0,0,443
1781788719.412,0,Normal,1.0000,71,5,0,0,443
1781788720.472,0,Normal,1.0000,16,5,0,0,443
1781788721.476,0,Normal,1.0000,69,9,3,0,443
1781788722.497,0,Normal,1.0000,124,9,0,0,443
1781788723.571,0,Normal,0.9400,305,6,0,0,37918
1781788724.584,0,Normal,1.0000,45,7,0,0,443
1781788725.593,0,Normal,1.0000,103,6,0,0,443
1781788726.6,0,Normal,1.0000,243,16,0,0,443
1781788727.705,0,Normal,1.0000,90,11,0,0,443
1781788728.875,0,Normal,1.0000,21,7,0,0,443
1781788729.973,0,Normal,0.9300,97,4,0,2,443
1781788730.977,0,Normal,0.9300,112,3,0,2,37918
1781788732.052,0,Normal,1.0000,62,8,0,0,443
1781788733.079,0,Normal,1.0000,82,6,0,0,443
1781788734.136,0,Normal,1.0000,24,2,0,0,443
1781788735.352,0,Normal,0.9800,9,1,0,0,443
1781788736.377,0,Normal,0.9700,10,1,0,0,443
1781788737.401,0,Normal,1.0000,14,4,0,0,443
1781788738.425,0,Normal,0.9700,6,3,0,0,80
1781788739.673,0,Normal,0.6200,6,3,0,0,443
1781788740.697,0,Normal,0.6900,4,2,0,0,443
1781788741.698,0,Normal,0.9700,3,1,0,0,443
1781788743.512,0,Normal,0.9900,5,3,0,0,443
1781788744.631,0,Normal,1.0000,128,12,2,0,443
1781788745.872,0,Normal,1.0000,16,4,0,0,443
1781788747.097,0,Normal,0.9700,5,2,0,0,443
1781788748.208,0,Normal,1.0000,9,5,0,0,443
1781788750.26,0,Normal,0.8200,9,4,0,0,443
1781788751.336,0,Normal,0.9900,7,0,0,0,0
1781788752.621,0,Normal,1.0000,10,3,0,0,5353
1781788753.753,0,Normal,0.8100,9,2,0,0,80
1781788755.537,0,Normal,0.9900,4,3,0,0,443
1781788756.824,0,Normal,0.8100,7,3,0,0,59326
1781788758.518,0,Normal,0.7500,5,3,0,0,80
1781788759.852,0,Normal,0.7600,5,3,0,0,80
1781788760.92,0,Normal,0.7100,5,1,0,0,443
1781788762.968,0,Normal,0.5900,1,1,0,0,80
1781788763.991,0,Normal,0.7800,6,2,0,0,443
1781788765.181,0,Normal,0.9800,4,2,0,0,443
1781788767.126,0,Normal,0.9300,5,2,0,0,443
1781788769.113,0,Normal,0.8100,10,4,0,0,80
1781788771.124,0,Normal,0.7900,4,3,0,0,52438
1781788773.208,0,Normal,0.6400,5,1,0,0,80
1781788774.914,0,Normal,0.7300,2,1,0,0,58126
1781788775.932,0,Normal,0.7900,6,1,0,0,443
1781788777.781,0,Normal,0.9900,4,3,0,0,46086
1781788779.352,0,Normal,1.0000,24,4,0,0,1900
1781788781.385,0,Normal,0.9200,4,4,0,0,52438
1781788782.897,0,Normal,0.9900,6,1,0,0,546
1781788784.94,0,Normal,0.7100,7,4,0,0,443
1781788785.941,0,Normal,0.7100,8,3,0,0,443
1781788787.39,0,Normal,0.9700,10,4,0,0,80
1781788789.592,0,Normal,0.8600,18,6,0,0,443
1781788790.619,0,Normal,0.5700,4,3,0,0,80
1781788791.64,0,Normal,1.0000,17,4,0,0,7151
1781788793.689,0,Normal,0.8600,23,4,0,0,443
1781788794.712,0,Normal,0.5900,2,2,0,0,58126
1781788795.736,0,Normal,0.9900,3,0,0,0,0
1781788796.76,0,Normal,0.7300,2,1,0,0,443
1781788798.107,0,Normal,0.8700,11,1,0,0,443
1781788799.817,0,Normal,0.7100,6,4,0,0,80
1781788800.86,0,Normal,0.7100,6,4,0,0,80
1781788802.028,0,Normal,0.8700,3,2,0,0,57621
1781788803.032,0,Normal,0.8600,13,4,0,0,443
1781788805.241,0,Normal,0.8600,12,5,0,0,443
1781789005.534,0,Normal,0.9900,1,1,0,0,7151
1781789008.097,0,Normal,1.0000,4,1,0,0,7151
1781789011.476,0,Normal,0.9900,6,0,0,0,0
1781789016.392,0,Normal,0.9300,5,1,0,0,53
1781789017.931,0,Normal,1.0000,22,3,0,0,41032
1781789018.964,0,Normal,1.0000,4,0,0,0,0
1781789020.555,0,Normal,0.9800,1,1,0,0,5353
1781789027.664,0,Normal,1.0000,3,2,0,0,5353
1781789031.865,0,Normal,1.0000,5,1,0,0,7151
1781789034.818,0,Normal,1.0000,10,1,0,0,7151
1781789038.319,0,Normal,1.0000,8,1,0,0,57621
1781789039.829,0,Normal,0.9900,5,0,0,0,0
1781789042.573,0,Normal,1.0000,6,2,0,0,5353
1781789045.079,0,Normal,1.0000,1,0,0,0,0
1781789046.543,0,Normal,0.9800,3,0,0,0,0
1781789048.335,0,Normal,0.9800,4,0,0,0,0
1781789049.444,0,Normal,0.9500,5,0,0,0,0
1781789050.943,0,Normal,1.0000,2,0,0,0,0
1781789052.823,0,Normal,0.7300,2,1,0,0,1900
1781789053.824,0,Normal,1.0000,4,1,0,0,1900
1781789054.826,0,Normal,1.0000,3,1,0,0,1900
1781789055.827,0,Normal,0.9400,2,2,0,0,57621
1781789057.911,0,Normal,1.0000,1,0,0,0,0
1781789060.632,0,Normal,0.9800,1,1,0,0,5353
1781789061.988,1,SYN Flood,0.5600,2,1,0,0,5353
1781789065.572,0,Normal,1.0000,5,1,0,0,7151
1781789071.628,0,Normal,1.0000,7,1,0,0,7151
1781789072.847,0,Normal,1.0000,5,1,0,0,57621
1781789076.846,0,Normal,0.6100,1,1,0,0,443
1781789077.97,0,Normal,1.0000,6,3,0,0,41032
1781789079.199,0,Normal,1.0000,20,1,0,0,1900
1781789080.332,0,Normal,0.9900,5,1,0,0,547
1781789081.871,0,Normal,1.0000,4,1,0,0,5353
1781789086.677,0,Normal,0.9800,4,0,0,0,0
1781789090.141,0,Normal,1.0000,5,1,0,0,57621
1781789092.005,0,Normal,0.9400,1,1,0,0,7151
1781789094.838,0,Normal,1.0000,10,1,0,0,7151
1781789097.977,0,Normal,1.0000,5,1,0,0,5353
1781789099.281,0,Normal,1.0000,3,2,0,0,5353
1781789100.686,0,Normal,0.9300,1,1,0,0,5353
1781789102.865,0,Normal,0.8900,2,1,0,0,5353
1781789106.245,0,Normal,0.9900,6,0,0,0,0
1781789108.398,0,Normal,0.8800,5,0,0,0,0
1781789110.472,0,Normal,0.9500,1,0,0,0,0
1781845191.802,0,Normal,0.9800,1,1,0,0,5353
