timestamp,pps,bytes,tcp,udp,icmp,tcp_ratio,udp_ratio,unique_ips,unique_ports,syn,ack,rst,fin,top_port,label
1781763006.238,5,997,0,1,0,0.0,0.2,0,1,0,0,0,0,5353,0
1781763009.286,2,258,0,1,0,0.0,0.5,1,1,0,0,0,0,7151,0
1781763011.131,10,1389,0,9,0,0.0,0.9,1,1,0,0,0,0,7151,0
1781763012.343,4,440,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1781763013.565,1,525,0,1,0,0.0,1.0,0,1,0,0,0,0,5353,0
1781763017.176,2,647,0,1,0,0.0,0.5,1,1,0,0,0,0,5353,0
1781763018.574,4,440,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1781763023.836,2,202,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1781763024.862,7,1079,0,2,0,0.0,0.2857,1,2,0,0,0,0,547,0
1781763027.217,20,9857,0,19,0,0.0,0.95,1,1,0,0,0,0,1900,0
1781763029.56,5,965,0,1,0,0.0,0.2,0,1,0,0,0,0,5353,0
1781763032.339,2,647,0,1,0,0.0,0.5,1,1,0,0,0,0,5353,0
1781763033.697,4,440,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1781763034.892,5,1355,0,5,0,0.0,1.0,1,1,0,0,0,0,5353,0
1781763036.145,4,1740,0,4,0,0.0,1.0,1,1,0,0,0,0,5353,0
1781763037.151,9,1581,0,4,0,0.0,0.4444,1,1,0,0,0,0,5353,0
1781763038.181,7,2968,0,7,0,0.0,1.0,1,1,0,0,0,0,5353,0
1781763040.022,1,142,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
1781763041.042,6,724,0,2,0,0.0,0.3333,1,1,0,0,0,0,5353,0
1781763042.053,1,152,0,1,0,0.0,1.0,0,1,0,0,0,0,5353,0
1781763043.668,4,1200,0,3,0,0.0,0.75,1,1,0,0,0,0,5353,0
1781763044.676,40,14439,27,12,0,0.675,0.3,4,7,4,24,0,0,443,0
1781763045.682,124,34537,90,34,0,0.7258,0.2742,7,20,17,76,3,2,443,0
1781763046.965,78,23235,68,10,0,0.8718,0.1282,7,10,8,61,0,2,443,0
1781763047.985,5,1775,4,1,0,0.8,0.2,0,2,4,0,0,0,80,0
1781763049.009,9,2041,4,1,0,0.4444,0.1111,0,2,4,0,0,0,80,0
1781763050.033,9,958,4,0,0,0.4444,0.0,0,2,4,0,0,0,80,0
1781763051.033,49,37387,40,5,0,0.8163,0.102,3,5,8,33,0,0,443,0
1781763052.046,749,3633406,739,6,2,0.9866,0.008,5,8,9,732,0,0,59282,0
1781763053.094,148,179554,138,7,2,0.9324,0.0473,3,5,4,134,0,0,58186,0
1781763054.326,38,15718,27,5,0,0.7105,0.1316,2,3,5,23,0,0,443,0
1781763055.697,76,348113,72,2,0,0.9474,0.0263,2,3,2,70,0,0,59282,0
